frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
13	<div class=subtitle style=@STYLE>	4.461538461538462	0.07692307692307693	4.461538461538462	https://szekelyhon.ro/aktualis/ego-sum-a-soundcam-studioban https://szekelyhon.ro/aktualis/szurovizsgalatok-lehetoseg-itt-is-van-de-kevesen-elnek-vele https://szekelyhon.ro/aktualis/a-kozteri-viragok-is-megsinylik-a-csapadekos-idojarast https://szekelyhon.ro/aktualis/dfffdd https://szekelyhon.ro/aktualis/aszfalt-es-hid-darabokat-sodor-magaval-az-ar-gyimeskozeplokon	default	default	
13745	<div class=subtitle>	3.517060749363405	0.008803201164059658	3.4955256456893418	https://szekelyhon.ro/aktualis/nehez-bepotolni-a-kimaradt-honapokat-a-hatranyos-helyzetben-elo-tanulokkal https://szekelyhon.ro/aktualis/osszmuveszeti-fesztivalt-tartananak-nyaron-a-gyergyoi-medenceben https://szekelyhon.ro/aktualis/a-tel-beallta-elott-befejeznek-a-kabelek-foldbe-helyezeset-szekelyudvarhelyen https://szekelyhon.ro/aktualis/az-elso-emelet-elkeszult-johet-a-folytatas-n-csak-legyen-ra-penz https://szekelyhon.ro/aktualis/nemzetkozi-helyett-erdelyi-konyvvasar-de-az-is-csak-online	cimsor	default	
60	<div class=teaser teaser_font jegyzeto>	10.033333333333333	1.2333333333333334	0.0	https://szekelyhon.ro/aktualis/valosag-nevu-nagybatyank-n-valasz-gereb-laszlonak https://szekelyhon.ro/aktualis/nem-onfeladas-ha-adunk-romanjainkak-n-es-nem-pofont https://szekelyhon.ro/aktualis/a-vegtelen-lehetosegek-bajnoksaga https://szekelyhon.ro/aktualis/kozan-istvan-reducere-20 https://szekelyhon.ro/aktualis/imazsepites-mindenekelott	default	default	
28304	<div class=teaser teaser_font>	32.23063877897117	1.046813171283211	0.0	https://szekelyhon.ro/aktualis/a-csikszeredai-korhaz-kilenc-alkalmazottja-fertozodott-meg-a-koronavirussal https://szekelyhon.ro/aktualis/a-cegekhez-is-kimennek-ha-igenylik-a-koronavirus-elleni-vakcinat https://szekelyhon.ro/aktualis/eletet-vesztette-az-idos-sofor-a-balesetben https://szekelyhon.ro/vilag/ossejt-beultetesevel-kezeltek-sikeresen-egy-hiv-fertozottet https://szekelyhon.ro/aktualis/szerelik-a-terfigyelo-kamerakat-gyergyoszentmikloson	default	default	
3	<div class=western citate>	14.666666666666666	0.0	14.666666666666666	https://szekelyhon.ro/aktualis/nyeregben-a-szekelyek-n-elkezdodott-a-szekely-vagta	default	default	
1	<div class=western>	23.0	0.0	23.0	https://szekelyhon.ro/aktualis/nyeregben-a-szekelyek-n-elkezdodott-a-szekely-vagta	default	default	
1	<div dir=ltr id=@LONG style=@STYLE>	8.0	1.0	0.0	https://szekelyhon.ro/aktualis/az-adatvarazslo	default	default	
118	<div style=@STYLE>	4.771186440677966	0.19491525423728814	4.47457627118644	https://szekelyhon.ro/aktualis/ujfent-borszekre-varjak-a-gasztronomia-szerelmeseit https://szekelyhon.ro/aktualis/hargita-megyei-zeneszek-a-hargita-megyei-gyermekekert https://szekelyhon.ro/aktualis/mintegy-harmincezer-lejt-gyujtottek-ossze-a-jotekonykodo-zeneszek https://szekelyhon.ro/aktualis/noveli-a-szekelyfoldi-gazdasagfejlesztesi-program-tamogatasait-a-magyar-kormany https://szekelyhon.ro/aktualis/eloben-mutatjak-be-az-adatfeltorest-a-6-digitalis-szekelyfold-konferencian	default	default	
123	<div>	12.154471544715447	2.3902439024390243	5.6016260162601625	https://szekelyhon.ro/aktualis/oktatasi-egysegeket-ellenoriztek-es-olyan-hianyossagokat-talaltak-ami-legtobbunknek-otthon-alap https://szekelyhon.ro/aktualis/szent-laszlo-nyomdokain-vezetett-az-ut-a-szepvizi-talalkozora https://szekelyhon.ro/aktualis/uj-ut-homorodszentmarton-es-homorodalmas-kozott https://szekelyhon.ro/aktualis/tobben-megserultek-a-csikszeredaban-tortent-frontalis-utkozes-kovetkezteben https://szekelyhon.ro/aktualis/nincs-pont-a-tombhazajtonal-ezert-nem-is-annyira-nepszeru-az-uj-tagas-parkolo	default	default	
144	<em>	9.166666666666666	0.2638888888888889	8.409722222222221	https://szekelyhon.ro/aktualis/nem-az-ujonnan-elfogadott-beavatkozasi-kvota-fogja-megoldani-a-medveproblemakat https://szekelyhon.ro/aktualis/a-technika-adott-csak-kreativitas-es-mondanivalo-kell https://szekelyhon.ro/aktualis/marosszek/lovagokat-avat-a-szent-laszlo-tarsasag https://szekelyhon.ro/aktualis/sehol-sem-kellett-felfuggeszteni-a-tanitast-hargita-megyeben https://szekelyhon.ro/aktualis/cenzurazott-muveszet-kifogasolt-utcazene-bizottsag-marosvasarhelyen	default	default	
